category,img_size,feature_choice,patch_grid,patch_top_fraction,threshold,auroc,accuracy,normal_recall,anomaly_recall,macro_f1
carpet,512,last2,8,0.01,0.018305348232388496,0.968298555377207,0.8717948717948718,0.5357142857142857,0.9775280898876404,0.7936507936507936
grid,512,last3,20,0.03,0.06538404524326324,0.9147869674185463,0.8205128205128205,0.8571428571428571,0.8070175438596491,0.7939622641509434
leather,224,last1,20,0.01,0.019254045560956,0.9724864130434783,0.9193548387096774,0.875,0.9347826086956522,0.8967698967698967
pill,512,last1,20,0.05,0.07011119276285172,0.9547190398254228,0.592814371257485,1.0,0.5177304964539007,0.5577881619937695
screw,512,last2,20,0.05,0.08600521087646484,0.9266243082598894,0.34375,1.0,0.11764705882352941,0.32451449479313255
